Frequency (Hz)	Level (dB)
21.533203	-24.697666
43.066406	-26.343842
64.599609	-27.567629
86.132812	-28.060604
107.666016	-29.471313
129.199219	-29.592798
150.732422	-30.841936
172.265625	-31.861336
193.798828	-31.197206
215.332031	-31.025064
236.865234	-31.674393
258.398438	-32.007133
279.931641	-32.479839
301.464844	-32.842037
322.998047	-32.862572
344.531250	-34.015934
366.064453	-34.559978
387.597656	-35.588913
409.130859	-35.163963
430.664062	-34.831821
452.197266	-34.576946
473.730469	-35.001835
495.263672	-35.650997
516.796875	-35.339764
538.330078	-35.312828
559.863281	-35.780766
581.396484	-35.078377
602.929688	-35.137875
624.462891	-36.525719
645.996094	-36.193024
667.529297	-36.314220
689.062500	-36.284882
710.595703	-36.831867
732.128906	-37.285961
753.662109	-36.835514
775.195312	-36.084602
796.728516	-37.371494
818.261719	-37.771301
839.794922	-37.970444
861.328125	-38.053818
882.861328	-37.050301
904.394531	-37.820351
925.927734	-38.027950
947.460938	-37.375000
968.994141	-36.532066
990.527344	-38.317657
1012.060547	-38.097855
1033.593750	-38.797108
1055.126953	-39.674133
1076.660156	-38.452950
1098.193359	-37.603390
1119.726562	-38.264030
1141.259766	-39.563759
1162.792969	-40.083717
1184.326172	-39.724937
1205.859375	-38.411865
1227.392578	-38.446682
1248.925781	-39.340904
1270.458984	-39.379993
1291.992188	-39.634121
1313.525391	-39.605457
1335.058594	-40.689831
1356.591797	-40.613289
1378.125000	-38.682205
1399.658203	-39.040161
1421.191406	-40.285538
1442.724609	-39.936302
1464.257812	-40.566166
1485.791016	-40.831532
1507.324219	-39.563046
1528.857422	-38.887905
1550.390625	-39.116787
1571.923828	-39.163765
1593.457031	-39.741543
1614.990234	-40.450180
1636.523438	-40.526577
1658.056641	-40.356247
1679.589844	-41.129265
1701.123047	-39.955967
1722.656250	-41.110146
1744.189453	-40.499954
1765.722656	-39.945732
1787.255859	-41.126400
1808.789062	-41.412136
1830.322266	-41.552692
1851.855469	-40.994789
1873.388672	-40.854877
1894.921875	-41.219627
1916.455078	-41.791534
1937.988281	-42.189575
1959.521484	-41.457142
1981.054688	-41.385948
2002.587891	-41.599388
2024.121094	-41.123051
2045.654297	-41.617004
2067.187500	-42.507484
2088.720703	-41.574234
2110.253906	-40.779659
2131.787109	-41.251266
2153.320312	-41.697460
2174.853516	-41.771561
2196.386719	-42.058887
2217.919922	-41.312798
2239.453125	-41.040657
2260.986328	-41.019173
2282.519531	-40.688164
2304.052734	-40.900497
2325.585938	-41.099171
2347.119141	-41.619484
2368.652344	-42.092979
2390.185547	-42.969784
2411.718750	-42.063004
2433.251953	-41.358765
2454.785156	-41.941105
2476.318359	-41.865917
2497.851562	-42.314171
2519.384766	-42.350925
2540.917969	-42.172104
2562.451172	-41.317760
2583.984375	-42.052223
2605.517578	-43.256783
2627.050781	-41.971626
